"Luonnoskirja, 37 lehteä",Ateneum,1959
Kuumotus,Kiasma,2007
Pitkä mies,Ateneum,1957
Luonnoskirja,Ateneum,1953
L´ Animal,Ateneum,1962
Istuva vanhahko nainen sateenvarjo sylissään,Ateneum,1910
Tuntematon,Sinebrychoffin taidemuseo,1900
Abramzevo. Mamontovien tila / Puisto,Ateneum,1930
Maisema Scheldeltä,Sinebrychoffin taidemuseo,1900
Henrietta Lotringilainen,Sinebrychoffin taidemuseo,1900
6 lehteä Rainer Maria Rilken teokseen Duineser Elegien,Kiasma,1980
Piirros,Kiasma,2013
"Kuvitusta Topeliuksen satuun ""Lilla genius""",Ateneum,1935
Vanha nainen kissa sylissä,Ateneum,1989
Naisen profiili,Ateneum,1975
Kesäilta,Ateneum,1912
nimetön muotokuva,Kiasma,1999
Antibes,Ateneum,1917
Dominique de Ligny,Sinebrychoffin taidemuseo,1900
"Kalevalan kuvitusta, XXVI runon loppuvignetti",Ateneum,1941
no title,Ateneum,1998
Omakuva,Kiasma,1999
"Seisova mies, elävämalliharjoitelma",Ateneum,1938
Hindulaistyttö,Ateneum,1939
Katetut hevosvaunut Cafe Montmorencyn edustalla,Ateneum,1910
Maalaistyttö,Ateneum,1960
"Piirustus ""Luonnon kirjaan""",Ateneum,1917
"Mieskasvoja (luonnoksia teokseen Mielenosoituskulkue, C VI 2582)",Ateneum,1959
Aakkoset,Kiasma,2003
Kukkiva hedelmäpuu,Ateneum,1945
Edolaisnainen. Bijin-ga,Ateneum,1995
Bataille de la Marne episode de Courtacon,Ateneum,1920
Kuningatar Lovisa Ulrika,Sinebrychoffin taidemuseo,1921
Taidenäyttelyssä,Kiasma,1999
Leton kosto,Sinebrychoffin taidemuseo,1889
Ranskalainen kylä,Ateneum,1901
Istuva alaston mies,Ateneum,1989
Mies istuu rantakivellä,Ateneum,1989
Prahan linna,Ateneum,1938
Metsälampi,Ateneum,2000
Näyttelijät Kataoka Nizaemon VIII ja Kakunosuke näytelmässä Tokaido Yotsuya kaidan (Yotsuyan kummitustarina),Ateneum,1908
Kaksi koiraa (2.),Sinebrychoffin taidemuseo,1900
Satukirjankuvituksia,Kiasma,1996
Parfyymipullo,Sinebrychoffin taidemuseo,1921
Vuosisadan muistiinpanoja,Kiasma,1991
nimetön (maisema),Kiasma,1999
De swarte Beer. Kolmimastoalus.,Sinebrychoffin taidemuseo,1900
"""Musu-Musu"" Koristeellinen symbolistinen sommitelma",Ateneum,1952
Taiteen hullujen demonien ajama maalari,Kiasma,1999
nimetön,Kiasma,1999
"Mercerau, Cameleonin kabaretin johtaja",Ateneum,1951
Sisällysluettelo,Kiasma,2012
Sisällysluettelo,Kiasma,2012
Les grandes miseres de la guerre,Sinebrychoffin taidemuseo,1923
Maisema lehmineen,Ateneum,1921
Pierre Grassin,Sinebrychoffin taidemuseo,1919
La Tauromaquia,Sinebrychoffin taidemuseo,1965
Talvimaisema Muoniosta,Ateneum,1943
Hakesiilo,Kiasma,1981
Protsess XXXX,Kiasma,1994
"""När ryssen kom i landet"", karikatyyri",Ateneum,1935
C. A. Scaglia,Sinebrychoffin taidemuseo,1900
nimetön ; luonnos,Kiasma,1999
nimetön ; julisteluonnos,Kiasma,1999
